swap_id,timestamp,station_id,battery_soc_returned,battery_soc_issued,wait_minutes,swap_duration_minutes,batteries_available_before_swap,station_status,downtime_minutes,payment_amount,payment_method,motorcycle_type,service_success
SW000001,2026-01-01 06:02:33,ST001,34.1,93.2,0.6,4.5,12,Operational,0,35.45,Mobile Money,Standard,True
SW000002,2026-01-01 06:32:12,ST004,41.2,95.9,2.8,3.7,16,Operational,0,38.98,Mobile Money,Delivery,True
SW000003,2026-01-01 06:46:12,ST005,24.9,85.8,1.2,2.9,15,Operational,0,32.24,Mobile Money,Standard,True
SW000004,2026-01-01 06:50:15,ST004,19.6,91.2,9.6,4.5,24,Operational,0,38.84,Mobile Money,Delivery,True
SW000005,2026-01-01 06:59:01,ST004,31.7,95.5,4.7,3.2,19,Operational,0,36.44,Mobile Money,Standard,True
SW000006,2026-01-01 07:00:37,ST004,34.1,99.1,2.9,3.9,13,Operational,0,41.53,Wallet,Commercial,True
SW000007,2026-01-01 07:11:36,ST002,8.5,100.0,3.3,3.3,20,Operational,0,35.05,Mobile Money,Standard,True
SW000008,2026-01-01 07:15:29,ST002,36.6,97.1,6.9,2.4,13,Operational,0,37.74,Mobile Money,Delivery,True
SW000009,2026-01-01 07:19:07,ST005,13.2,93.9,4.5,3.7,11,Operational,0,34.19,Mobile Money,Standard,True
SW000010,2026-01-01 07:23:39,ST005,18.4,93.9,3.0,3.1,10,Operational,0,34.07,Mobile Money,Standard,True
SW000011,2026-01-01 07:27:38,ST001,24.9,93.4,3.3,1.9,11,Operational,0,39.15,Mobile Money,Commercial,True
SW000012,2026-01-01 07:28:33,ST003,20.2,93.8,29.5,3.6,1,Operational,0,34.79,Card,Standard,True
SW000013,2026-01-01 07:32:13,ST001,21.6,100.0,3.3,2.7,9,Operational,0,38.83,Mobile Money,Commercial,True
SW000014,2026-01-01 07:35:25,ST003,52.4,91.3,2.5,3.1,17,Operational,0,41.5,Mobile Money,Commercial,True
SW000015,2026-01-01 07:36:28,ST002,35.7,97.7,1.0,4.2,20,Operational,0,39.39,Card,Commercial,True
SW000016,2026-01-01 07:43:14,ST004,3.0,86.6,2.7,4.5,11,Operational,0,37.13,Mobile Money,Standard,True
SW000017,2026-01-01 07:57:50,ST003,13.2,95.1,2.8,2.4,14,Operational,0,39.07,Mobile Money,Delivery,True
SW000018,2026-01-01 08:22:14,ST004,41.9,94.4,11.8,4.4,7,Operational,0,34.61,Wallet,Standard,True
SW000019,2026-01-01 08:25:23,ST003,22.5,91.9,4.7,3.1,14,Operational,0,39.86,Mobile Money,Delivery,True
SW000020,2026-01-01 08:41:15,ST005,23.8,91.9,1.4,3.6,14,Operational,0,36.65,Mobile Money,Delivery,True
SW000021,2026-01-01 08:42:02,ST001,29.1,94.9,5.2,2.8,19,Operational,0,40.29,Mobile Money,Delivery,True
SW000022,2026-01-01 08:45:48,ST004,28.6,94.3,3.9,2.0,13,Operational,0,32.86,Wallet,Standard,True
SW000023,2026-01-01 08:47:28,ST001,24.7,97.6,2.3,3.2,5,Operational,0,40.74,Mobile Money,Commercial,True
SW000024,2026-01-01 08:49:53,ST004,26.1,90.7,8.6,5.4,11,Operational,0,40.97,Mobile Money,Commercial,True
SW000025,2026-01-01 08:53:33,ST005,35.2,87.5,1.3,3.8,5,Operational,0,33.99,Mobile Money,Standard,True
